month,plan,beginning_seats,paid_seats,gross_adds,cancelled_seats,seat_removals,plan_transfers_net,net_adds,daily_weighted_paid_seats,daily_weighted_paid_accounts,beginning_paid_accounts,paid_accounts,upgraded_accounts,downgraded_accounts,expanded_accounts,revenue_cents,trials_started,trial_cohort_converted,trial_cohort_resolved,gross_churn_monthly,gross_churn_annualized,gross_churn_daily_exposure_lens,arpu,arpa,upgrade_rate,downgrade_rate,seat_expansion_account_rate,trial_conversion_resolved_cohort_rate,trial_cohort_pending,receipt_id
2024-12-01,pro,0,1,0,0,0,1,1,0.7096774193548387,0.7096774193548387,0,1,0,0,0,1419,0,0,0,,,0.0,19.994999999999997,19.994999999999997,,,,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-01-01,enterprise,47,47,0,0,0,0,0,47.0,3.0,3,3,0,0,0,376000,0,0,0,0.0,0.0,0.0,80.0,1253.3333333333333,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-01-01,max,1,0,0,0,0,-1,-1,0.2903225806451613,0.2903225806451613,1,0,0,1,0,1742,0,0,0,0.0,0.0,0.0,60.00222222222222,60.00222222222222,0.0,1.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-01-01,pro,1,2,0,0,0,1,1,1.7096774193548387,1.7096774193548387,1,2,0,0,0,3419,0,0,0,0.0,0.0,0.0,19.997924528301883,19.997924528301883,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-02-01,enterprise,47,47,0,0,0,0,0,47.0,3.0,3,3,0,0,0,376000,0,0,0,0.0,0.0,0.0,80.0,1253.3333333333333,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-02-01,max,0,1,0,0,0,1,1,0.6785714285714286,0.6785714285714286,0,1,0,0,0,4071,0,0,0,,,0.0,59.99368421052631,59.99368421052631,,,,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-02-01,pro,2,1,0,0,0,-1,-1,1.3214285714285714,1.3214285714285714,2,1,1,0,0,2643,0,0,0,0.0,0.0,0.0,20.001081081081082,20.001081081081082,0.5,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-03-01,enterprise,47,49,2,0,0,0,2,48.41935483870968,3.0,3,3,0,0,1,387355,0,0,0,0.0,0.0,0.0,80.00003331112592,1291.1833333333334,0.0,0.0,0.3333333333333333,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-03-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-03-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-04-01,enterprise,49,43,0,0,0,-6,-6,44.8,2.3,3,2,0,1,0,358400,0,0,0,0.0,0.0,0.0,80.0,1558.2608695652175,0.0,0.3333333333333333,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-04-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-04-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-04-01,team,0,6,0,0,0,6,6,4.2,0.7,0,1,0,0,0,14700,0,0,0,,,0.0,35.0,210.0,,,,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-05-01,enterprise,43,42,0,0,1,0,-1,42.29032258064516,2.0,2,2,0,0,0,338323,0,0,0,0.023255813953488372,0.24600230568937898,0.02364607170099161,80.00009916094585,1691.615,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-05-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-05-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-05-01,team,6,13,7,0,0,0,7,9.838709677419354,1.5483870967741935,1,2,0,0,0,34435,1,1,1,0.0,0.0,0.0,34.999508196721315,222.39270833333336,0.0,0.0,0.0,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-06-01,enterprise,42,42,0,0,0,0,0,42.0,2.0,2,2,0,0,0,336000,0,0,0,0.0,0.0,0.0,80.0,1680.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-06-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-06-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-06-01,team,13,13,0,0,0,0,0,13.0,2.0,2,2,0,0,0,45500,0,0,0,0.0,0.0,0.0,35.0,227.5,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-07-01,enterprise,42,42,0,0,0,0,0,42.0,2.0,2,2,0,0,0,336000,0,0,0,0.0,0.0,0.0,80.0,1680.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-07-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-07-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-07-01,team,13,13,0,0,0,0,0,13.0,2.0,2,2,0,0,0,45500,0,0,0,0.0,0.0,0.0,35.0,227.5,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-08-01,enterprise,42,22,0,0,1,-19,-20,27.806451612903224,1.2903225806451613,2,1,0,1,0,222452,0,0,0,0.023809523809523808,0.25111557937083784,0.03596287703016242,80.0001392111369,1724.003,0.0,0.5,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-08-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-08-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-08-01,team,13,36,4,0,0,19,23,29.322580645161292,2.7096774193548385,2,3,0,0,1,102629,0,0,0,0.0,0.0,0.0,34.99998899889989,378.749880952381,0.0,0.0,0.5,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-09-01,enterprise,22,22,0,0,0,0,0,22.0,1.0,1,1,0,0,0,176000,0,0,0,0.0,0.0,0.0,80.0,1760.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-09-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-09-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-09-01,team,36,36,0,0,0,0,0,36.0,3.0,3,3,0,0,0,126000,0,0,0,0.0,0.0,0.0,35.0,420.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-10-01,enterprise,22,22,0,0,0,0,0,22.0,1.0,1,1,0,0,0,176000,0,0,0,0.0,0.0,0.0,80.0,1760.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-10-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-10-01,pro,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,2000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-10-01,team,36,40,4,0,0,0,4,38.83870967741935,3.0,3,3,0,0,1,135935,0,0,0,0.0,0.0,0.0,34.99987541528239,453.1166666666666,0.0,0.0,0.3333333333333333,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-11-01,enterprise,22,18,0,0,4,0,-4,19.2,1.0,1,1,0,0,0,153600,0,0,0,0.18181818181818182,0.910009245845502,0.20833333333333334,80.0,1536.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-11-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-11-01,pro,1,2,1,0,0,0,1,1.5333333333333334,1.5333333333333334,1,2,0,0,0,3067,1,1,1,0.0,0.0,0.0,20.002173913043478,20.002173913043478,0.0,0.0,0.0,1.0,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-11-01,team,40,40,0,0,0,0,0,40.0,3.0,3,3,0,0,0,140000,0,0,0,0.0,0.0,0.0,35.0,466.6666666666667,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-12-01,enterprise,18,22,4,0,0,0,4,20.838709677419356,1.0,1,1,0,0,1,166710,0,0,0,0.0,0.0,0.0,80.0001547987616,1667.1,0.0,0.0,1.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-12-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-12-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2025-12-01,team,40,48,8,0,0,0,8,45.67741935483871,3.0,3,3,0,0,2,159870,0,0,0,0.0,0.0,0.0,34.99978813559322,532.9,0.0,0.0,0.6666666666666666,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-01-01,enterprise,22,23,1,0,0,0,1,22.70967741935484,1.0,1,1,0,0,1,181677,0,0,0,0.0,0.0,0.0,79.99981534090908,1816.77,0.0,0.0,1.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-01-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-01-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-01-01,team,48,48,0,0,0,0,0,48.0,3.0,3,3,0,0,0,168000,0,0,0,0.0,0.0,0.0,35.0,560.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-02-01,enterprise,23,19,0,0,4,0,-4,20.285714285714285,1.0,1,1,0,0,0,162286,0,0,0,0.17391304347826086,0.8990028359403596,0.1971830985915493,80.00014084507042,1622.86,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-02-01,max,1,1,0,0,0,0,0,1.0,1.0,1,1,0,0,0,6000,0,0,0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-02-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-02-01,team,48,48,0,0,0,0,0,48.0,3.0,3,3,0,0,0,168000,0,0,0,0.0,0.0,0.0,35.0,560.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-03-01,enterprise,19,36,2,0,0,15,17,31.06451612903226,1.7096774193548387,1,2,0,0,0,248516,0,0,0,0.0,0.0,0.0,79.99995846313602,1453.584150943396,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-03-01,max,1,0,0,0,0,-1,-1,0.2903225806451613,0.2903225806451613,1,0,0,1,0,1742,0,0,0,0.0,0.0,0.0,60.00222222222222,60.00222222222222,0.0,1.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-03-01,pro,2,2,0,1,0,1,0,1.7096774193548387,1.7096774193548387,2,2,0,0,0,3419,0,0,0,0.5,0.999755859375,0.5849056603773585,19.997924528301883,19.997924528301883,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-03-01,team,48,32,0,0,1,-15,-16,36.645161290322584,2.2903225806451615,3,2,1,0,0,128258,0,0,0,0.020833333333333332,0.2232532465480105,0.027288732394366196,34.99998239436619,559.9997183098591,0.3333333333333333,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-04-01,enterprise,36,36,0,0,0,0,0,36.0,2.0,2,2,0,0,0,288000,0,0,0,0.0,0.0,0.0,80.0,1440.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-04-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-04-01,team,32,19,0,13,0,0,-13,19.0,1.0,2,1,0,0,0,66500,0,0,0,0.40625,0.9980802553250832,0.6842105263157895,35.0,665.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-05-01,enterprise,36,36,0,0,0,0,0,36.0,2.0,2,2,0,0,0,288000,0,0,0,0.0,0.0,0.0,80.0,1440.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-05-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-05-01,team,19,19,0,0,0,0,0,19.0,1.0,1,1,0,0,0,66500,0,0,0,0.0,0.0,0.0,35.0,665.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-06-01,enterprise,36,36,0,0,0,0,0,36.0,2.0,2,2,0,0,0,288000,0,0,0,0.0,0.0,0.0,80.0,1440.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-06-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-06-01,team,19,19,0,0,0,0,0,19.0,1.0,1,1,0,0,0,66500,0,0,0,0.0,0.0,0.0,35.0,665.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-07-01,enterprise,36,36,0,0,0,0,0,36.0,2.0,2,2,0,0,0,288000,0,0,0,0.0,0.0,0.0,80.0,1440.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-07-01,pro,2,2,0,0,0,0,0,2.0,2.0,2,2,0,0,0,4000,0,0,0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
2026-07-01,team,19,20,1,0,0,0,1,19.70967741935484,1.0,1,1,0,0,1,68984,0,0,0,0.0,0.0,0.0,35.00006546644845,689.84,0.0,0.0,1.0,,0,mr-9acfc94fe3d34777b4b2d8d4a5673d38
