month,model,generation,token_type,channel,workload,segment,tokens,allocated_inference_cost_cents,net_revenue_cents,cost_per_mtok,inference_gross_margin,receipt_id
2024-02-01,synthetic-g1,1,input,direct,api,startup_api,1644281,219,479,1.331889135737748,0.5427974947807933,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,116697956,62317,122753,5.340024978672291,0.4923382727917036,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,output,direct,api,enterprise,156958562,83816,127399,5.3400081481378505,0.3420984466126108,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,output,direct,api,mid_market_api,82299672,43948,90917,5.339996980789912,0.5166140545772517,mr-1673c6225a055ecb5323ee5746cd0e43
2024-02-01,synthetic-g1,1,output,direct,api,startup_api,823083,439,959,5.33360548085673,0.5422314911366006,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,121483519,2433,3194,0.20027407997623117,0.23825923606762678,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_read,direct,api,enterprise,235640688,4719,4776,0.2002625285154489,0.011934673366834181,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,73380536,1470,2027,0.20032560132839586,0.2747903305377405,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_read,direct,api,startup_api,992637,20,29,0.20148352318118304,0.31034482758620685,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,30371754,5068,9984,1.668655685805963,0.4923878205128205,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_write,direct,api,enterprise,58909524,9830,14925,1.6686605717608582,0.3413735343383585,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,18345156,3061,6333,1.668560354569893,0.5166587715142903,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,cache_write,direct,api,startup_api,248263,41,90,1.651474444439969,0.5444444444444445,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,303714304,40546,79868,1.3350046232922899,0.49233735663845346,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,input,direct,api,enterprise,589099035,78645,119399,1.3350047331175818,0.3413261417599812,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,input,direct,api,mid_market_api,183452991,24491,50666,1.3350014009856073,0.5166186397189436,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,input,direct,api,startup_api,2480805,331,723,1.33424432795,0.5421853388658369,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,151862808,81095,159741,5.340017155484179,0.49233446641751333,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,output,direct,api,enterprise,294540027,157284,238789,5.339987288043536,0.3413264430103564,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,output,direct,api,mid_market_api,91734212,48986,101340,5.33999245559552,0.5166173278073811,mr-1673c6225a055ecb5323ee5746cd0e43
2024-03-01,synthetic-g1,1,output,direct,api,startup_api,1240100,662,1444,5.338279171034594,0.5415512465373962,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,300018220,6008,7890,0.20025450454309074,0.23852978453738904,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_read,direct,api,enterprise,122944637,2462,2487,0.2002527365223747,0.010052271813429825,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,140312143,2810,3875,0.2002677701245002,0.2748387096774193,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_read,direct,api,startup_api,1315802,26,38,0.1975981188659084,0.3157894736842105,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,74989981,12514,24650,1.6687562569191743,0.4923326572008113,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_write,direct,api,enterprise,30730758,5128,7772,1.6686864671545036,0.34019557385486365,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,35073580,5853,12108,1.66877746725598,0.5166005946481664,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,cache_write,direct,api,startup_api,328559,55,120,1.6739763634537481,0.5416666666666667,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,749978983,100122,197223,1.3349974101874265,0.49234115696445135,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,input,direct,api,enterprise,307329336,41028,62179,1.3349848255293142,0.340163077566381,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,input,direct,api,mid_market_api,350738090,46824,96867,1.3350132573282816,0.51661556567252,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,input,direct,api,startup_api,3290688,439,958,1.3340675263045296,0.5417536534446764,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,374987664,200243,394444,5.339988997611399,0.49234111813083736,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,output,direct,api,enterprise,153675492,82063,124368,5.340018693416645,0.34015984819246103,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,output,direct,api,mid_market_api,175363114,93644,193727,5.34000553845092,0.5166187469996438,mr-1673c6225a055ecb5323ee5746cd0e43
2024-04-01,synthetic-g1,1,output,direct,api,startup_api,1646580,879,1918,5.33833764530117,0.5417101147028154,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,230566045,4617,6063,0.20024631120336908,0.23849579416130628,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_read,direct,api,enterprise,203078684,4066,4126,0.20021796083728807,0.014541929229277772,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,97376547,1950,2689,0.20025355797428307,0.2748233544068427,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_read,direct,api,startup_api,1195418,24,35,0.20076659377723943,0.3142857142857143,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,57652028,9621,18951,1.6688051285897523,0.4923223048915625,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_write,direct,api,enterprise,50769561,8472,12894,1.668716418485478,0.34295020939972076,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,24341637,4062,8403,1.6687456147669937,0.5166012138521956,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,cache_write,direct,api,startup_api,298491,50,109,1.675092381344831,0.5412844036697247,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,576486385,76961,151600,1.3350011726642945,0.49234168865435357,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,input,direct,api,enterprise,507731004,67782,103158,1.3349982464336567,0.34293026231605883,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,input,direct,api,mid_market_api,243447776,32500,67235,1.3349885767697462,0.5166208076150814,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,input,direct,api,startup_api,2986725,399,870,1.335911407980313,0.5413793103448277,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,288209497,153904,303164,5.3400044621014,0.49234077924819575,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,output,direct,api,enterprise,253865295,135565,206317,5.3400367308969905,0.34292860016382554,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,output,direct,api,mid_market_api,121726975,65002,134474,5.3399831877856165,0.5166203132203995,mr-1673c6225a055ecb5323ee5746cd0e43
2024-05-01,synthetic-g1,1,output,direct,api,startup_api,1492266,797,1739,5.340870863505568,0.5416906267970099,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,242614236,4858,6380,0.20023557067772396,0.23855799373040754,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_read,direct,api,enterprise,178286437,3570,3616,0.20023957290705183,0.012721238938053103,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,109778268,2198,3032,0.20022177795699964,0.275065963060686,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_read,direct,api,startup_api,543649,11,16,0.20233643398589898,0.3125,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,60653258,10122,19938,1.66883038665458,0.4923262112548902,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_write,direct,api,enterprise,44570859,7438,11300,1.6688033766636627,0.3417699115044248,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,27440709,4579,9473,1.6686886625269048,0.5166262007811675,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,cache_write,direct,api,startup_api,135898,23,49,1.6924458049419417,0.5306122448979591,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,606511149,80969,159495,1.3349960694621954,0.4923414527101163,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,input,direct,api,enterprise,445749978,59508,90413,1.3350084786768066,0.34182031345049935,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,input,direct,api,mid_market_api,274498453,36646,75811,1.3350166312230547,0.516613684030022,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,input,direct,api,startup_api,1359488,181,396,1.331383579700593,0.5429292929292929,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,303272465,161948,319007,5.340016608497576,0.4923371587457328,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,output,direct,api,enterprise,222840979,118997,180797,5.339996284974139,0.3418198310812679,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,output,direct,api,mid_market_api,137233689,73283,151604,5.340015307757266,0.5166156565789821,mr-1673c6225a055ecb5323ee5746cd0e43
2024-06-01,synthetic-g1,1,output,direct,api,startup_api,680703,363,794,5.332722200431025,0.5428211586901763,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,328630120,6581,8643,0.2002555334854882,0.2385745690153882,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_read,direct,api,enterprise,342569062,6859,6956,0.20022240070237282,0.01394479585968944,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,39631665,794,1095,0.20034485051284118,0.27488584474885847,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_read,direct,api,startup_api,1645154,33,48,0.20058912417925617,0.3125,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,82153953,13709,27005,1.6686963316299581,0.49235326791334943,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_write,direct,api,enterprise,85628314,14289,21735,1.668723735469088,0.3425810904071773,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,9906361,1653,3420,1.668624836102783,0.5166666666666666,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,cache_write,direct,api,startup_api,411615,69,150,1.6763237491345067,0.54,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,821466767,109666,216022,1.3350022716135028,0.4923387432761478,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,input,direct,api,enterprise,856339659,114321,173891,1.3349959773380062,0.3425709208642196,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,input,direct,api,mid_market_api,99086255,13228,27366,1.3349984818782383,0.5166264708031865,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,input,direct,api,startup_api,4117981,550,1200,1.3356059680702752,0.5416666666666667,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,410731871,219331,432043,5.340004403992307,0.49233988283573626,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,output,direct,api,enterprise,428181332,228649,347792,5.340003940199803,0.34256969683028937,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,output,direct,api,mid_market_api,49544508,26457,54732,5.340046973521263,0.51660819995615,mr-1673c6225a055ecb5323ee5746cd0e43
2024-07-01,synthetic-g1,1,output,direct,api,startup_api,2057806,1099,2397,5.340639496628934,0.5415102211097205,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,245999912,4926,6470,0.2002439740710151,0.2386398763523957,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_read,direct,api,enterprise,206762818,4140,4189,0.20022942422848966,0.011697302458820724,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,29828734,597,824,0.20014258734547702,0.2754854368932039,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_read,direct,api,startup_api,793948,16,23,0.2015245330928474,0.30434782608695654,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,61483648,10260,20210,1.6687363768656018,0.49233052944087086,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_write,direct,api,enterprise,51681399,8624,13089,1.6686854781156368,0.34112613645045453,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,7459246,1245,2575,1.6690695011265213,0.5165048543689321,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,cache_write,direct,api,startup_api,197745,33,72,1.668815899264204,0.5416666666666667,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,614912221,82091,161704,1.33500355329578,0.49233785187750456,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,input,direct,api,enterprise,516814930,68995,104710,1.335004002303107,0.34108490115557255,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,input,direct,api,mid_market_api,74594144,9958,20601,1.3349573392785363,0.5166254065336634,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,input,direct,api,startup_api,1985243,265,578,1.3348491847093782,0.5415224913494809,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,307493603,164202,323449,5.340013528671684,0.49234036896079447,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,output,direct,api,enterprise,258406753,137989,209419,5.339992024124849,0.3410865298755127,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,output,direct,api,mid_market_api,37295554,19916,41201,5.340046698327634,0.516613674425378,mr-1673c6225a055ecb5323ee5746cd0e43
2024-08-01,synthetic-g1,1,output,direct,api,startup_api,991842,530,1157,5.343593031954686,0.5419187554019015,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_read,azure_marketplace,claude_code,marketplace,144134629,2886,3790,0.2002294674099449,0.23852242744063323,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_read,direct,api,enterprise,222141655,4449,4505,0.20027761114861595,0.012430632630410665,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,41467003,830,1145,0.20015914822684436,0.27510917030567683,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_read,direct,api,startup_api,695114,14,20,0.20140581257175083,0.30000000000000004,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_write,azure_marketplace,claude_code,marketplace,36041331,6014,11847,1.6686398179911834,0.49236093525787117,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_write,direct,api,enterprise,55531566,9266,14077,1.6686005217284887,0.3417631597641543,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,10370674,1731,3580,1.6691297016953768,0.5164804469273743,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,cache_write,direct,api,startup_api,173006,29,63,1.676242442458643,0.5396825396825398,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,input,azure_marketplace,claude_code,marketplace,360356795,48108,94764,1.3350102084241258,0.4923388628593136,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,input,direct,api,enterprise,555398439,74146,112629,1.3350055526533449,0.3416793188255245,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,input,direct,api,mid_market_api,103646899,13837,28625,1.3350134093254444,0.5166113537117905,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,input,direct,api,startup_api,1736425,232,506,1.336078437018587,0.541501976284585,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,output,azure_marketplace,claude_code,marketplace,180191441,96222,189541,5.339987263878976,0.4923420262634469,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,output,direct,api,enterprise,277671517,148277,225236,5.340014762839359,0.3416816139515886,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,output,direct,api,mid_market_api,51824798,27674,57252,5.339914687173503,0.5166282400614826,mr-1673c6225a055ecb5323ee5746cd0e43
2024-09-01,synthetic-g1,1,output,direct,api,startup_api,868613,464,1012,5.341849592396153,0.541501976284585,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,cache_read,direct,agent_platform,startup_api,806453,16,22,0.19839965875258694,0.2727272727272727,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,cache_read,direct,api,mid_market_api,26558053,532,733,0.20031588912033574,0.27421555252387453,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,cache_write,direct,agent_platform,startup_api,201391,33,68,1.638603512570075,0.5147058823529411,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,cache_write,direct,api,mid_market_api,6637996,1108,2292,1.6691784689234521,0.5165794066317626,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,input,direct,agent_platform,startup_api,2013105,269,544,1.3362442594896937,0.5055147058823529,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,input,direct,api,mid_market_api,66366129,8860,18329,1.3350183494957195,0.5166130176223471,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,output,direct,agent_platform,startup_api,1007852,538,1088,5.338085353801947,0.5055147058823529,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g1,1,output,direct,api,mid_market_api,33183092,17720,36658,5.340068972475501,0.5166130176223471,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_read,direct,api,enterprise,390144665,6250,6509,0.1601969874431065,0.039791058534337065,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_read,direct,api,startup_api,700364,11,17,0.15706118532648736,0.3529411764705882,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_read,direct,claude_code,enterprise,608953111,9755,13018,0.16019295777930592,0.2506529420801966,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_read,direct,claude_code,mid_market_api,1486955,24,34,0.1614036739511283,0.2941176470588235,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_write,direct,api,enterprise,97534959,13021,20339,1.3350085070523279,0.3598013668321943,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_write,direct,api,startup_api,175254,23,52,1.3123808871694798,0.5576923076923077,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_write,direct,claude_code,enterprise,152228142,20322,40678,1.3349699820943752,0.500417916318403,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,cache_write,direct,claude_code,mid_market_api,372221,50,107,1.3432879928859467,0.5327102803738317,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,input,direct,api,enterprise,975268358,104158,162696,1.067993226126998,0.3597998721542017,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,input,direct,api,startup_api,1750822,187,418,1.0680697409559623,0.5526315789473684,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,input,direct,claude_code,enterprise,1522300868,162582,325428,1.0680017558789174,0.5004056196762418,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,input,direct,claude_code,mid_market_api,3712590,396,852,1.0666408087076678,0.5352112676056338,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,output,direct,api,enterprise,487666941,208332,325412,4.272014001457605,0.359790050766413,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,output,direct,api,startup_api,874605,374,837,4.2762161204200755,0.5531660692951015,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,output,direct,claude_code,enterprise,761123801,325152,650834,4.271998846610763,0.5004071698774188,mr-1673c6225a055ecb5323ee5746cd0e43
2024-10-01,synthetic-g2,2,output,direct,claude_code,mid_market_api,1855187,793,1703,4.274501707914081,0.5343511450381679,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,aws_marketplace,api,marketplace,5628383,90,125,0.15990383028304933,0.28,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,agent_platform,startup_api,1114390,18,25,0.1615233446100557,0.28,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,api,enterprise,1476105725,23648,23114,0.1602053267559815,-0.023102881370598016,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,api,mid_market_api,66586535,1067,1535,0.16024260760827996,0.30488599348534207,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,api,startup_api,409958,7,10,0.17074919869840324,0.30000000000000004,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,claude_code,enterprise,308190860,4937,6588,0.16019294017999106,0.2506071645415908,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_read,direct,claude_code,mid_market_api,2538210,41,58,0.16153115778442287,0.2931034482758621,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_write,aws_marketplace,api,marketplace,1408197,188,391,1.335040480841814,0.5191815856777493,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_write,direct,agent_platform,startup_api,277479,37,77,1.333434241870556,0.5194805194805194,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_write,direct,api,enterprise,368996303,49261,72222,1.3349998251879505,0.31792251668466676,mr-1673c6225a055ecb5323ee5746cd0e43
2024-11-01,synthetic-g2,2,cache_write,direct,api,mid_market_api,16655737,2223,4800,1.3346752533376338,0.536875,mr-1673c6225a055ecb5323ee5746cd0e43
